product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
0804,"Avocados, pineapples, mangos, etc.","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",0.593971,0.247,-1.734,-0.266,111679554,-2.29973474801061
6305,Bags for packing goods,"Sacks and bags, of a kind used for the packing of goods",0.845229,0.26,-1.797,-0.243,55246896,-2.425101214574899
0902,Tea,"Tea, whether or not flavored",0.780339,0.238,-1.897,-0.209,69857093,-2.4862385321100917
2604,Nickel ore,Other metal content,0.276437,0.19599999999999995,-2.088,0.052,11025767,-2.593788819875776
4103,Other raw hides and skins,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split, other than those excluded by note 1(b) or 1(c) to this chapter",0.402602,0.21899999999999997,-2.272,-0.161,1409494,-2.9053708439897696
2606,Aluminum ore,Aluminium ores and concentrates,0.676307,0.24,-2.24,-0.001,63631981,-2.9434954007884366
7108,Gold,"Gold (including gold plated with platinum) unwrought or in semimanufactured forms, or in powder form",0.203981,0.259,-2.235,-0.001,1155840579,-3.012129380053908
5303,Textile bast fibers,"Jute and other textile bast fibers (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibers (including yarn waste and garnetted stock)",0.431536,0.261,-2.26,-0.0,942723,-3.054054054054054
0714,Tubers,"Cassava (manioc), arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",0.528331,0.277,-2.286,-0.238,20906289,-3.157458563535912
0501,"Human hair, unworked","Human hair, unworked, whether or not washed or scoured; waste of human hair",0.44017,0.247,-2.464,-0.001,1046449,-3.2679045092838197
1801,Cocoa beans,"Cocoa beans, whole or broken, raw or roasted",0.470887,0.28300000000000003,-2.482,-0.215,46860464,-3.456824512534819
2609,Tin ore,Tin ores and concentrates,0.465379,0.277,-2.613,-0.218,4439793,-3.609116022099448
