product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value
4801,Newsprint,Newsprint,1.013348,0.17700000000000005,1.146,0.0,85930363
9209,Parts of musical instruments,"Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds",3.139929,0.17600000000000005,0.982,0.0,54702671
