Metric,Current Exports,Strategic Bets,All Viable Opps
Count,225.0,20.0,568.0
Avg PCI,-0.5397866666666666,2.1575499999999996,0.8062992957746479
Avg Density,0.25065333333333334,0.14429999999999998,0.15941021126760563
Avg Effort,0.7493466666666667,0.8557,0.8405897887323942
Avg Efficiency,,2.512784336252276,0.950054460626873
Avg COG,0.0,1.1317999999999997,0.8652165492957746
Avg Strategic Score,,0.5673943103457568,0.3043694551554909
