product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
3306,Dental hygiene products,"Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",0.29278,0.17800000000000005,0.277,0.594,22381235,0.3365735115431349
8410,"Hydraulic turbines, water wheels and regulators","Hydraulic turbines, water wheels and regulators therefor; parts thereof",0.421188,0.15400000000000003,0.277,1.101,5092622,0.3270365997638725
7608,Aluminum tubes and pipes,Aluminum tubes and pipes,0.365322,0.17200000000000004,0.268,0.761,11354065,0.32328106151990355
8710,Tanks and other armored fighting vehicles,"Tanks and other armored fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles",0.41336,0.14600000000000002,0.267,0.448,36154901,0.312280701754386
5506,"Synthetic staple fibers, processed","Synthetic staple fibers, carded, combed or otherwise processed for spinning",0.271375,0.17100000000000004,0.247,0.766,924952,0.29759036144578316
2003,"Mushrooms, prepared or preserved","Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0.397209,0.15700000000000003,0.25,0.002,9593177,0.2962085308056872
3303,Perfumes,Perfumes and toilet waters,0.409426,0.16300000000000003,0.196,0.697,132626363,0.23389021479713606
5704,Carpets of felt,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up",0.385149,0.16900000000000004,0.193,0.75,2903636,0.23197115384615385
8429,"Self-propelled bulldozers, excavators and road rollers","Self-propelled bulldozers, angledozers, graders, levelers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and road rollers",0.647551,0.16200000000000003,0.193,0.908,527129136,0.23003575685339692
7117,Imitation jewelry,Imitation jewelry,0.205587,0.17400000000000004,0.187,0.63,21658026,0.22611850060459493
3207,Prepared pigments,"Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of p",0.705678,0.16100000000000003,0.183,0.571,40812059,0.21785714285714286
6808,Panels of vegetable fibers,"Panels, boards, tiles, blocks and similar articles of vegetable fiber, of straw or of shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders",0.333314,0.16900000000000004,0.173,0.801,2532070,0.2079326923076923
5507,"Artificial staple fibers, processed","Artificial staple fibers, carded, combed or otherwise processed for spinning",0.388506,0.14700000000000002,0.157,0.003,156188,0.18384074941451992
6912,Ceramic household articles,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china:",0.473979,0.17700000000000005,0.102,0.783,12629295,0.12378640776699029
2811,Other inorganic acids,Other inorganic acids and other inorganic oxygen compounds of nonmetals,0.412074,0.18100000000000005,0.09,0.658,27364094,0.10975609756097561
8474,Machinery for working minerals,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or molding solid mineral fuels, c",0.607338,0.17200000000000004,0.039,0.637,151661893,0.04704463208685163
7304,"Tubes, seamless, of iron or steel","Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",0.863238,0.17700000000000005,0.038,0.662,319264767,0.04611650485436893
4405,Wood wool or flour,Wood wool (excelsior); wood flour,0.762284,0.16900000000000004,0.032,0.003,744703,0.038461538461538464
3302,Mixtures of odoriferous subtances,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufa",0.599515,0.17400000000000004,0.021,0.454,214995137,0.025392986698911733
1702,Other sugars,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel",0.548026,0.16900000000000004,0.019,0.574,69998238,0.022836538461538464
7316,Anchors of iron or steel,"Anchors, grapnels and parts thereof, of iron or steel",0.36179,0.17300000000000004,0.018,0.535,1247943,0.021739130434782608
8606,"Railway cars, not self-propelled","Railway or tramway freight cars, not self-propelled",0.515831,0.16100000000000003,0.017,0.518,23628957,0.02023809523809524
2507,Kaolin,"Kaolin and other kaolinic clays, whether or not calcined",0.690358,0.17100000000000004,0.001,0.522,12967377,0.0012048192771084338
7806,Other articles of lead,Other articles of lead,0.744705,0.16900000000000004,-0.009,0.536,3073968,-0.010817307692307692
4705,Semichemical woodpulp,Wood pulp obtained by a combination of mechanical and chemical pulping processes,0.386925,0.16400000000000003,-0.013,0.271,8626766,-0.015531660692951015
9618,Mannequins,Tailors' dummies and other mannequins;automatons and other animated displays used for shopwindow dressing,0.315071,0.17200000000000004,-0.034,0.658,2217707,-0.041013268998793734
2831,Dithionites and sulfoxylates,Dithionites and sulfoxylates,0.559928,0.16900000000000004,-0.043,0.692,1743164,-0.051682692307692304
8702,Buses,"Motor vehicles for the transport of ten or more persons, including the driver",0.23818,0.17800000000000005,-0.061,0.396,55278004,-0.07411907654921021
0505,Feathers and down,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea",0.395858,0.17300000000000004,-0.067,0.586,7046777,-0.08091787439613528
5006,"Silk yarn, for retail sale","Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut:",0.698234,0.18000000000000005,-0.067,0.003,94633,-0.08160779537149818
7011,Glass envelopes,"Glass envelopes (including bulbs and tubes), open, and glass parts thereof, without fittings, for electric lamps, cathode-ray tubes or the like",0.294033,0.18000000000000005,-0.075,0.003,344719,-0.09135200974421437
1603,Extracts and juices of meat or fish,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",0.265037,0.17600000000000005,-0.082,0.479,827864,-0.09939393939393941
8907,Other floating structures,"Other floating structures (for example, rafts, tanks, cofferdams, landing-stages,buoys and beacons)",0.819084,0.17500000000000004,-0.123,0.621,12494946,-0.14891041162227603
4909,Printed or illustrated postcards,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings:",0.264235,0.16900000000000004,-0.133,0.639,2677860,-0.15985576923076925
9206,"Musical instruments, percussion","Percussion musical instruments (for example, drums, xylophones,cymbals, castanets, maracas):",0.924826,0.17600000000000005,-0.146,0.584,5987685,-0.17696969696969697
7301,Sheet piling of iron or steel,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",0.810268,0.17900000000000005,-0.154,0.506,17686063,-0.18734793187347934
2909,Ethers,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulfonated, nitrated or nitrosated derivatives",0.608862,0.17700000000000005,-0.16,0.579,119161294,-0.19417475728155342
3823,Industrial monocarboxylic fatty acids,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,0.813309,0.16800000000000004,-0.222,0.759,827813151,-0.2665066026410564
4108,Chamois leather,Chamois (including combination chamois) leather,0.696036,0.17600000000000005,-0.319,0.002,1029599,-0.3866666666666667
3202,Synthetic tanning substances,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning",0.865897,0.16400000000000003,-0.361,0.592,5522144,-0.43130227001194743
8306,"Ornaments, statuettes, etc. of metal","Bells, gongs and the like, nonelectric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal; and base metal parts thereof",0.356436,0.17300000000000004,-0.461,0.399,11233891,-0.5567632850241546
8901,Cargo ships and similar vessels,"Cruise ships, excursion boats,ferry boats, cargo ships, barges and similar vessels for the transport of persons or goods",0.319964,0.17200000000000004,-0.499,0.713,326257846,-0.6019300361881785
7406,Copper powders and flakes,Copper powders and flakes,0.610384,0.16300000000000003,-0.505,0.565,11370763,-0.6026252983293556
