product_hs92_code,product_name_short,product_name,export_rca,density,pci,cog,export_value,efficiency
8003,Tin bars and wire,"Tin bars, rods, profiles and wire",3.760222,0.22799999999999998,0.44,0.0,18602773,0.5692108667529108
7114,Goldsmith and silversmith wares,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal or of metal clad with precious metal",3.418319,0.21499999999999997,0.436,0.0,46531554,0.55470737913486
8528,Monitors and projectors,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",1.408776,0.23299999999999998,0.419,0.0,1205792519,0.5455729166666666
8522,Parts and accessories for video or sound equipment,Parts and accessories suitable for use solely or principally with the apparatus of headings 8519 to 8521,8.774101,0.255,0.405,0.0,143669912,0.5428954423592494
3204,Synthetic organic coloring matter,"Synthetic organic coloring matter, whether or not chemically defined; preparations as specified in note 3 to this chapter based on synthetic organic coloring matter; synthetic organic products of a kind used as fluorescent brightening agents or as luminop",1.044774,0.21699999999999997,0.414,0.0,140393218,0.5280612244897959
8712,Bicycles,"Bicycles and other cycles (including delivery tricycles), not motorized:",1.196138,0.20899999999999996,0.405,0.0,108992749,0.5113636363636364
4011,New pneumatic tires of rubber,"New pneumatic tires, of rubber",1.535751,0.22299999999999998,0.355,0.0,1758533633,0.4562982005141388
4414,Wooden frames,"Wooden frames for paintings, photographs, mirrors or similar objects",3.309904,0.22899999999999998,0.314,0.0,37745055,0.4067357512953368
7113,Jewelry of precious metal,"Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal",2.843442,0.21099999999999997,0.315,0.0,4194897282,0.39873417721518983
7312,"Wire of iron or steel, not insulated","Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",1.284738,0.237,0.28,0.0,120881048,0.3664921465968587
8711,Motorcycles,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars",2.513974,0.20999999999999996,0.289,0.0,1183023656,0.3653603034134007
4822,"Bobbins, spools, cops of paper","Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard (whether or not perforated or hardened)",1.405012,0.20499999999999996,0.282,0.0,8810087,0.3542713567839195
9202,"Musical instruments, string","Other string musical instruments (for example, guitars, violins, harps)",5.368244,0.236,0.271,0.0,67624038,0.3542483660130719
3817,Mixed alkylbenzenes,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading 2707 or 2902",1.291866,0.22599999999999998,0.245,0.0,34762736,0.3161290322580645
7305,"Other tubes and pipes, diameter > 406.4 mm, of iron or steel","Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross sections, the external diameter of which exceeds 406.4 mm, of iron or steel",3.293078,0.249,0.228,0.0,378578236,0.30319148936170215
4905,Maps,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed",2.050517,0.19799999999999995,0.228,0.0,3346620,0.2839352428393524
4816,Other carbon paper,"Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading 4809), duplicator stencils and offset plates, of paper, whether or not put up in boxes",6.863667,0.256,0.177,0.0,40534626,0.23758389261744967
4813,Cigarette paper,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes",3.213087,0.20299999999999996,0.143,0.0,90715987,0.17919799498746863
0208,Other meat,"Other meat and edible meat offal, fresh, chilled or frozen",1.378228,0.20099999999999996,0.097,0.0,12606679,0.12125
4805,Other uncoated paper and paperboard,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in note 3 to this chapter",2.36092,0.21499999999999997,0.09,0.0,455140853,0.11450381679389313
2817,Zinc oxide or peroxide,Zinc oxide; zinc peroxide,1.93942,0.23299999999999998,0.066,0.0,32411228,0.0859375
2706,"Tar distilled from coal, lignite etc.","Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars",4.01651,0.21699999999999997,0.066,0.0,37511998,0.08418367346938775
4702,"Chemical woodpulp, dissolving grade",Sulfate or soda,11.241961,0.23099999999999998,0.056,0.0,791024138,0.07272727272727272
7005,Float glass,"Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked",2.434714,0.22899999999999998,0.053,0.0,179094042,0.06865284974093264
4003,Reclaimed rubber,"Reclaimed rubber in primary forms or in plates, sheets or strip",1.333614,0.237,0.014,0.0,6887503,0.01832460732984293
9607,Slide fasteners,Slide fasteners and parts thereof,2.474209,0.21799999999999997,0.006,0.0,84550732,0.007662835249042145
5402,Synthetic filament yarn,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex",1.365962,0.236,0.002,0.0,284028790,0.00261437908496732
5515,Other woven fabrics of synthetic staple fibers,Other woven fabrics of synthetic staple fibers,1.883644,0.23099999999999998,-0.002,0.0,94910321,-0.0025974025974025974
2618,Granulated iron or steel slag,Granulated slag (slag sand) from the manufacture or iron or steel,1.254737,0.21499999999999997,-0.004,0.0,14099335,-0.0050890585241730275
6811,Asbestos-cement or cellulose fiber-cement,"Articles of asbestos-cement, of cellulose fiber-cement or the like",1.099446,0.21999999999999997,-0.016,0.0,20353650,-0.020486555697823303
3802,Activated carbon,"Activated carbon; activated natural mineral products; animal black, including spent animal black",1.993034,0.243,-0.047,0.0,75422921,-0.06200527704485488
3806,Rosin and resin acids,"Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums",8.650942,0.21599999999999997,-0.053,0.0,140458584,-0.06751592356687898
1518,"Animal or vegetable fats and oils, processed","Animal or vegetable fats and oils and their fractions, boiled, oxidized, dehydrated, sulfurized, blown, polymerized by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of a",2.501601,0.21399999999999997,-0.07,0.0,244842590,-0.08894536213468869
8111,Manganese,"Manganese and articles thereof, including waste and scrap:",8.834948,0.28700000000000003,-0.064,0.0,122011513,-0.0896358543417367
1522,Degras and wax residues,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,40.924007,0.244,-0.068,0.0,221555936,-0.08982826948480846
8478,Machinery for preparing tobacco,"Machinery for preparing or making up tobacco, not specified or included elsewhere in this chapter; parts thereof",1.502116,0.21999999999999997,-0.09,0.0,24049403,-0.11523687580025607
5510,"Yarn of artificial staple fibers, not for retail sale","Yarn (other than sewing thread) of artificial staple fibers, not put up for retail sale",16.475389,0.235,-0.095,0.0,252129472,-0.12402088772845953
4703,"Chemical woodpulp, soda or sulfate","Chemical woodpulp, soda or sulfate, other than dissolving grades",6.316185,0.22999999999999998,-0.106,0.0,2673839502,-0.13748378728923474
2105,Ice cream,"Ice cream and other edible ice, whether or not containing cocoa",1.140327,0.20899999999999996,-0.138,0.0,78019318,-0.17424242424242425
5407,Woven fabrics of synthetic filament yarn,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading 5404",1.039007,0.263,-0.131,0.0,374039503,-0.1775067750677507
9609,"Pencils, crayons, pastels, etc.","Pencils (other than those pencils of heading 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",2.18389,0.25,-0.142,0.0,48632785,-0.18908122503328892
4418,Wood carpentry for construction,"Builders' joinery and carpentry of wood, including cellular wood panels and assembled flooring panels; shingles and shakes",2.505527,0.21099999999999997,-0.157,0.0,455125234,-0.19873417721518988
8906,Other vessels,"Other vessels, including warships and lifeboats other than row boats",2.007178,0.235,-0.218,0.0,136878940,-0.2845953002610966
1520,Glycerol,"Glycerol, crude; glycerol waters and glycerol lyes",22.174494,0.235,-0.229,0.0,701611601,-0.2989556135770235
9602,Worked vegetable or mineral carving material,"Worked vegetable or mineral carving material and articles of these materials; molded or carved articles of wax, of stearin, of natural gums or natural resins, of modeling pastes, and other molded or carved articles, not elsewhere specified or included;wor",1.226148,0.252,-0.24,0.0,16694940,-0.3204272363150868
4706,Pulps of recovered paper fibers,Pulps of fibers derived from recovered (waste and scrap) paper or paperboard or of other fibrous cellulosic material,1.532384,0.274,-0.236,0.0,42018640,-0.3246217331499312
7112,Scrap of precious metal,"Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious metal compounds, of a kind used principally for the recovery of precious metal",7.628553,0.22999999999999998,-0.253,0.0,1933905972,-0.32814526588845655
7101,Pearls,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport",11.215108,0.29000000000000004,-0.236,0.0,116600970,-0.3319268635724332
4111,Composition leather,"Composition leather, in slabs, sheets or strip",2.36957,0.20699999999999996,-0.271,0.0,5180531,-0.3413098236775819
1905,Bakery products,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty capsules of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products",1.354218,0.20999999999999996,-0.271,0.0,847500975,-0.34260429835651074
2833,Sulfates,Sulfates; alums; peroxosulfates (persulfates),3.985058,0.237,-0.315,0.0,249988520,-0.412303664921466
4401,Fuel wood,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",1.385339,0.21499999999999997,-0.329,0.0,215384945,-0.41857506361323155
6403,Leather footwear,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather",4.079386,0.24,-0.33,0.0,2701713138,-0.43363994743758216
2101,Coffee extracts,"Extracts, essences and concentrates, of coffee, tea or mate and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates",4.794282,0.238,-0.34,0.0,602556132,-0.4456094364351245
4419,Wooden kitchenware,"Tableware and kitchenware, of wood",1.056745,0.253,-0.344,0.0,25458023,-0.4598930481283422
1805,Cocoa powder,"Cocoa powder, not containing added sugar or other sweetening matter",7.144551,0.22699999999999998,-0.358,0.0,269449497,-0.46253229974160204
5509,"Yarn of synthetic staple fibers, not for retail sale","Yarn (other than sewing thread) of synthetic staple fibers, not put up for retail sale",6.844063,0.244,-0.379,0.0,401024961,-0.5006605019815059
4015,Vulcanized rubber articles of apparel,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanized rubber other than hard rubber",2.054796,0.28300000000000003,-0.388,0.0,194349444,-0.5403899721448469
2905,Acyclic alcohols,"Acyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",1.080528,0.23399999999999999,-0.434,0.0,339908575,-0.5658409387222947
4421,Other articles of wood,Other articles of wood,1.702096,0.22899999999999998,-0.439,0.0,160486374,-0.5686528497409327
4413,Densified wood,"Densified wood, in blocks, plates, strips or profile shapes",1.294436,0.22899999999999998,-0.444,0.0,7436832,-0.5751295336787565
6404,Textile footwear,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials",4.338596,0.255,-0.457,0.0,2222211102,-0.6126005361930296
4203,Leather apparel,"Articles of apparel and clothing accessories, of leather or of composition leather",1.619559,0.259,-0.467,0.0,137099789,-0.6293800539083558
7213,Hot rolled bars of iron,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or nonalloy steel",2.795973,0.23199999999999998,-0.485,0.0,445584727,-0.6306892067620286
9404,Mattresses and bedding,"Mattress supports; articles of bedding and similar furnishing (for example,mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed orinternally fitted with any material or of cellular rubber or plastics, whether or no",1.415782,0.257,-0.48,0.0,348853369,-0.6451612903225806
2818,Aluminum oxide,"Artificial corundum, whether or not chemically defined; aluminum oxide; aluminum hydroxide",3.826095,0.29400000000000004,-0.493,0.0,760249595,-0.6973125884016973
7408,Copper wire,Copper wire,2.2925,0.23199999999999998,-0.575,0.0,709567710,-0.7477243172951885
2517,Gravel,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or",1.556262,0.22699999999999998,-0.593,0.0,53841558,-0.7661498708010336
3805,Turpentines,"Gum, wood or sulfate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulfite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituen",10.659433,0.241,-0.592,0.0,50391831,-0.7789473684210526
9507,Fishing and hunting equipment,"Fishing rods, fish hooks and other line fishing tackle; fish landing nets,butterfly nets and similar nets; decoy birds (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof",1.293893,0.27,-0.583,0.0,55180382,-0.7975376196990424
