product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,export_value,import_value
3807,Wood tar and oils,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",0.319,0.14900000000000002,0.851,0.3744131455399061,0.631,0.17206199480130904,540508,173088
4303,Furskin apparel,"Articles of apparel, clothing accessories and other articles of furskin",0.269,0.15600000000000003,0.844,0.3183431952662722,0.572,0.17062138924975956,1639118,5519253
4416,"Casks, barrels, etc. of wood","Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",0.225,0.15600000000000003,0.844,0.26627218934911245,0.694,0.16928629482998409,58774,323330
8803,Parts of other aircraft,Parts of goods of heading 8801or 8802,0.104,0.17100000000000004,0.829,0.12530120481927712,0.666,0.16910488637155408,105913646,265393761
6601,Umbrellas,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas)",0.279,0.17400000000000004,0.826,0.33736396614268443,0.002,0.16890456927552877,2630759,69270966
8801,"Gliders, hang gliders","Gliders, hang gliders",0.303,0.17000000000000004,0.83,0.36462093862815886,0.003,0.16680224454829107,17086,398259
5109,"Yarn of wool or animal hair, for retail sale","Yarn of wool or of fine animal hair, put up for retail sale",0.264,0.15100000000000002,0.849,0.31058823529411766,0.653,0.1658052829685599,43792,159363
7304,"Tubes, seamless, of iron or steel","Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",0.038,0.17700000000000005,0.823,0.04611650485436893,0.662,0.16569069112556925,319264767,741036959
0101,Horses,"Live horses, asses, mules or hinnies",0.272,0.14400000000000002,0.856,0.31738623103850644,0.817,0.16529550756043399,0,2378614
6602,Walking sticks,"Walking-sticks, seat-sticks, whips, riding-crops and the like",0.22,0.15700000000000003,0.843,0.26066350710900477,0.613,0.1649494298243019,241624,2553073
5811,Quilted textile products,"Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading 5810:",0.06,0.18000000000000005,0.82,0.0730816077953715,0.493,0.16488863514591612,387205,4113228
8310,Sign plates and similar plates of base metal,"Sign plates, name plates, address plates and similar plates, numbers, letters and other symbols, and parts thereof, of base metal, excluding those of heading 9405",0.104,0.16600000000000004,0.834,0.12455089820359282,0.704,0.16271987669198978,611371,10844867
8304,"Paper trays and similar office equipment, of base metal","Desk-top filing or card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment and parts thereof, of base metal, other than office furniture of heading 9403",0.221,0.17700000000000005,0.823,0.2682038834951456,0.002,0.16221482162446152,300504,8419790
7413,"Copper wire, uninsulated","Stranded wire, cables, plaited bands and the like, including slings and similar articles, of copper, not electrically insulated:",0.143,0.16100000000000003,0.839,0.17023809523809524,0.706,0.16207485654539747,938504,9333507
7004,Drawn and blown glass,"Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked",0.175,0.16100000000000003,0.839,0.20833333333333331,0.599,0.16192124084348758,381836,184683
