rank,country,eci
214,GRD,-1.4107382085550406
215,ABW,-1.9463205751337136
216,HTI,-3.0034504211773076
217,NCL,-3.4966673316761225
218,BES,-3.5494863181420224
219,SPM,-3.589319674202122
220,VAT,-3.6717019285745334
221,GUM,-3.681111309781936
222,VCT,-3.6967713933467974
223,SXM,-3.714407786192969
224,LCA,-3.749673609944304
225,GTM,-3.801119173033894
226,STP,-3.8254043299427947
227,SMR,-3.860074072642975
228,HND,-3.8721116083416214
229,AIA,-3.9233839376830186
230,HMD,-3.943934874569368
