product_hs92_code,product_name_short,export_value,export_rca,pci,cog
6211,Activewear,219056133,1.219093,-1.039,0.0
4401,Fuel wood,215384945,1.385339,-0.329,0.0
2401,Unmanufactured tobacco,197801746,1.523403,-1.553,-0.0
4015,Vulcanized rubber articles of apparel,194349444,2.054796,-0.388,0.0
2302,Cereal residues,194172940,4.879646,-2.07,-0.0
3215,Ink,192066979,1.529297,0.672,0.0
7005,Float glass,179094042,2.434714,0.053,0.0
1803,Cocoa paste,170361041,3.466497,-0.668,0.0
3301,Essential oils,165208647,2.459285,-1.198,-0.0
2615,Zirconium ore,162937751,7.768913,-2.329,-0.0
4421,Other articles of wood,160486374,1.702096,-0.439,0.0
1302,Vegetable saps and extracts,159921587,1.584937,-1.274,0.0
6210,Garments made of textile felts and nonwoven fabric,158738757,1.153796,-0.805,0.0
2903,Halogenated derivatives of hydrocarbons,153368082,1.210834,1.107,0.0
6105,"Men's shirts, knit",149056715,1.341322,-1.493,-0.0
8522,Parts and accessories for video or sound equipment,143669912,8.774101,0.405,0.0
3806,Rosin and resin acids,140458584,8.650942,-0.053,0.0
3204,Synthetic organic coloring matter,140393218,1.044774,0.414,0.0
8533,Electrical resistors,137993468,1.213097,1.235,0.0
4203,Leather apparel,137099789,1.619559,-0.467,0.0
8904,Tugs and pusher craft,136886341,3.21561,-1.055,0.0
8906,Other vessels,136878940,2.007178,-0.218,0.0
1703,Molasses,134201135,8.878292,-1.586,-0.0
4408,Sheets for veneering for plywood,127231016,2.578717,-0.824,0.0
6106,"Women's shirts, knit",124725025,2.638048,-1.478,-0.0
0904,Pepper,124237072,2.015588,-1.597,-0.0
1108,Starches,123587120,1.632584,-0.782,0.0
6102,"Women's overcoats, knit",122909865,2.481254,-1.299,0.0
8111,Manganese,122011513,8.834948,-0.064,0.0
7312,"Wire of iron or steel, not insulated",120881048,1.284738,0.28,0.0
7101,Pearls,116600970,11.215108,-0.236,0.0
9201,Pianos,115330189,10.604833,0.768,0.0
7407,"Copper bars, rods and profiles",111304875,1.514553,0.562,0.0
8712,Bicycles,108992749,1.196138,0.405,0.0
7320,Springs of iron or steel,106973192,1.158393,0.928,0.0
6112,"Activewear, knit",105881607,1.572175,-0.958,0.0
4820,Notebooks,104180502,1.656206,-0.781,0.0
3404,Artificial and prepared waxes,103497703,2.494655,0.703,0.0
0906,Cinnamon,101008879,10.116167,-0.961,0.0
6208,Women's undergarments,100648797,3.002078,-0.957,0.0
6909,Ceramic wares for technical ware,100499211,1.164218,1.633,0.0
4809,Carbon paper,99203697,8.523356,-0.632,0.0
6111,"Babies' garments, knit",97591739,1.138333,-1.321,-0.0
0305,Preserved fish,97033446,1.436629,-1.78,-0.0
5515,Other woven fabrics of synthetic staple fibers,94910321,1.883644,-0.002,0.0
0907,Cloves,93102155,14.271605,-1.35,-0.0
4813,Cigarette paper,90715987,3.213087,0.143,0.0
3812,Stabilizers for rubber or plastic,90495671,1.580236,1.204,0.0
4801,Newsprint,85930363,1.013348,1.146,0.0
6116,"Gloves, knit",85195986,1.279777,-1.006,0.0
9607,Slide fasteners,84550732,2.474209,0.006,0.0
0910,Spices,81214568,2.06279,-1.565,-0.0
5206,Cotton yarn of < 85%,79264227,4.507291,-1.305,0.0
6101,"Men's overcoats, knit",78812951,2.220798,-1.244,0.0
4602,Basketwork,78032167,2.735905,-1.453,0.0
2105,Ice cream,78019318,1.140327,-0.138,0.0
3802,Activated carbon,75422921,1.993034,-0.047,0.0
5902,Tire cord fabric,71918313,2.339498,0.743,0.0
3201,Vegetable tanning extracts,70561806,15.676262,-0.914,0.0
2927,"Diazo-, azo-, or azoxy-compounds",67812749,9.097953,1.197,0.0
9202,"Musical instruments, string",67624038,5.368244,0.271,0.0
0301,Live Fish,67061994,2.580161,-0.868,0.0
9205,"Musical instruments, wind",64600384,6.140079,1.853,0.0
5513,Woven fabrics of < 85% synthetic staple fibers weighing < 170 g/m2,63336014,2.894529,-1.152,0.0
4420,"Wood marquetry, ornaments, etc.",60386974,2.499994,-0.75,0.0
9507,Fishing and hunting equipment,55180382,1.293893,-0.583,0.0
